disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,projectSize,county,countyCode,state,stateCode,stateNumberCode,projectAmount,federalShareObligated,totalObligated,obligatedDate,mitigationAmount,dcc,damageCategory,lastRefresh,hash,id
4323,2017-07-12T00:00:00.000Z,Flood,50,"Cavalier County Roads in Seivert, Storlie, and Trier Twps - DI 9271, 9272, 9273, & 12037",019-99019-00,C - Roads and Bridges,Small,Cavalier County,19,North Dakota,ND,38,61275.87,45956.91,45956.91,2018-08-20T00:00:00.000Z,0.0,C,Roads and Bridges,2025-04-05T15:02:37.720Z,1f0f1e2db19e44320e2573abdb30c10d401430c3,05d76396-6b3d-4679-ab3e-066d367ce96f
4337,2017-09-10T00:00:00.000Z,Hurricane,4514,FA LABOR for EPMs,009-10250-00,B - Emergency Protective Measures,Small,Brevard County,9,Florida,FL,12,8161.33,8161.33,8161.33,2019-03-11T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-05T15:02:37.720Z,f03cc365cb5305db296031cd359118ca9985605a,20f40a7e-d3e3-4126-966d-4a2df2a7a238
4330,2017-08-16T00:00:00.000Z,Flood,18,Post Office Road Culvert,001-29575-00,C - Roads and Bridges,Large,Addison County,1,Vermont,VT,50,349668.99,262251.74,262251.74,2018-08-29T00:00:00.000Z,0.0,C,Roads and Bridges,2025-04-05T15:02:37.720Z,41cb478f317c5b24b489bc3405de2278a3d55215,53e0c409-340b-4898-b3f1-f5c6e24d292c
4337,2017-09-10T00:00:00.000Z,Hurricane,6484,Parks & Rec Emergency Protective Measures,011-13275-00,B - Emergency Protective Measures,Small,Broward County,11,Florida,FL,12,31785.54,31785.54,31785.54,2019-05-06T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-05T15:02:37.720Z,2aa1910439218d5eb38cb60e436fded917774e5c,13ca23b5-f0ae-40e7-a10d-a7e66face9fc
4337,2017-09-10T00:00:00.000Z,Hurricane,33,Debris Removal 75% ,086-03975-00,A - Debris Removal,Large,Miami-Dade County,86,Florida,FL,12,136108.86,122497.98,122497.98,2019-10-01T00:00:00.000Z,0.0,A,Debris Removal,2025-04-05T15:02:37.720Z,c72077383206888b1e1cc9006d18f927a0834859,22e3b8b7-4ff6-4b6c-bad3-81b7c977b1ea
4629,2021-10-30T00:00:00.000Z,Hurricane,104,Completed Building Repairs ,001-73000-00,E - Buildings and Equipment,Small,Fairfield County,1,Connecticut,CT,9,809381.71,728443.54,728443.54,2025-03-04T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-03-07T15:06:09.120Z,c3546ae4ff5bc6d2c39c6a8b1e276ff70d7c192f,0031212a-f29a-417f-ba65-f54ec014659e
4635,2022-01-05T00:00:00.000Z,Mud/Landslide,13,Management Costs SPA2,000-U8SDO-00,Z - Management Costs,Large,Statewide,53,Washington,WA,53,1115089.75,1115089.75,1115089.75,2022-06-21T00:00:00.000Z,0.0,Z,Management Costs,2025-03-07T15:06:09.120Z,5131c060fc5abba4eed747e1081129d78c16fc08,9bd83c32-9a66-49e6-99a8-bfd3e76e1ec9
4323,2017-07-12T00:00:00.000Z,Flood,35,"County Roads in Easby, Osford, Perry Townships: DI 9111-9113-9115",019-99019-00,C - Roads and Bridges,Small,Cavalier County,19,North Dakota,ND,38,30424.82,22818.62,22818.62,2018-08-20T00:00:00.000Z,0.0,C,Roads and Bridges,2025-04-05T15:02:37.720Z,19ec7c51398937534cc93cf36f9a7e6d261fafe2,b3bed99e-17ab-4006-b72a-f11cc7179725
4337,2017-09-10T00:00:00.000Z,Hurricane,1276,Buoys / Flag poles/ Pooper Scooper Stations,086-03275-00,"G - Parks, Recreational Facilities, and Other Items",Small,Miami-Dade County,86,Florida,FL,12,10301.62,9271.46,9271.46,2019-09-22T00:00:00.000Z,0.0,G,"Parks, Recreational Facilities, and Other Items",2025-04-05T15:02:37.720Z,fee19fb37887cb8aaeb12042354f3c72e54a5fbd,da9d12b6-69ea-402a-ba88-c2f2a4c7c8cb
4337,2017-09-10T00:00:00.000Z,Hurricane,4657,PAAP - Debris Removal Citywide Operational Time Period 9/18/17 - 10/17/17 (90%),071-24125-00,A - Debris Removal,Large,Lee County,71,Florida,FL,12,4715666.92,4244100.23,4244100.23,2019-07-11T00:00:00.000Z,0.0,A,Debris Removal,2025-04-05T15:02:37.720Z,d2cdd526121f3fa0a71f706ef7ef197170a8e6be,7da1e372-35e4-4165-8002-005db4d6136a
4671,2022-09-21T00:00:00.000Z,Hurricane,2631,SPA - DR4671PR-MORO-Debris Removal (5) HFiona-100% Cost Share,107-99107-00,A - Debris Removal,Small,Orocovis,107,Puerto Rico,PR,72,536015.97,536015.97,536015.97,2025-03-06T00:00:00.000Z,0.0,A,Debris Removal,2025-03-07T15:06:09.120Z,b1705ad50e1924e07409fea1ffd1301dfeb9377d,fe49c52f-e84d-40d6-87b7-02aa74623444
4673,2022-09-29T00:00:00.000Z,Hurricane,2828,APP CERT - Village of Estero EPM from 9/23/22 to 12/7/22 - 100% Cost Share,071-UUTRP-00,B - Emergency Protective Measures,Small,Lee County,71,Florida,FL,12,70320.3,70320.3,70320.3,2025-03-06T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-03-07T15:06:09.120Z,26bb93010551712909ce7eb3efecfd8ad138ad02,41cb4edd-243f-4473-82b8-3aa0833a831b
4673,2022-09-29T00:00:00.000Z,Hurricane,3005,Emergency Protective Measures from 12/08 and Ongoing,071-0988F-00,B - Emergency Protective Measures,Small,Lee County,71,Florida,FL,12,80586.42,72527.78,72527.78,2025-03-06T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-03-07T15:06:09.120Z,b43f43be81009d2401dcdc0a2ca3d1fd34904ad1,db53cf26-8510-47ef-a87e-0df3e6bd2488
4673,2022-09-29T00:00:00.000Z,Hurricane,3078,App-Cert Street signs,057-57550-00,C - Roads and Bridges,Small,Hillsborough County,57,Florida,FL,12,7708.05,6937.25,6937.25,2025-03-06T00:00:00.000Z,0.0,C,Roads and Bridges,2025-03-07T15:06:09.120Z,496f0a59411388d3a2a9f6289ccb3a31fd6fec63,d4a420e9-27fc-43b0-bbb6-a0e5ca743498
4663,2022-07-29T00:00:00.000Z,Flood,2263,Completed Roads ,193-99193-00,C - Roads and Bridges,Small,Perry County,193,Kentucky,KY,21,127894.04,95920.53,95920.53,2025-03-05T00:00:00.000Z,0.0,C,Roads and Bridges,2025-03-07T15:06:09.120Z,89499c5bc84c6c771456d806a3a736f72ab292b7,200af531-6f6d-4289-8aba-14f15d617ca7
4673,2022-09-29T00:00:00.000Z,Hurricane,4422,Burton Memorial Park,071-10275-00,"G - Parks, Recreational Facilities, and Other Items",Small,Lee County,71,Florida,FL,12,39854.65,35869.19,35869.19,2025-03-06T00:00:00.000Z,0.0,G,"Parks, Recreational Facilities, and Other Items",2025-03-07T15:06:09.120Z,2f582f4fe5ac50903ebae5945327e263b23dbeb4,1ea5b313-401d-4835-967b-cb1ac11ae18a
4673,2022-09-29T00:00:00.000Z,Hurricane,4300,Polk State College Banners and Brackets   ,105-16D97-00,"G - Parks, Recreational Facilities, and Other Items",Small,Statewide,105,Florida,FL,12,10000.0,9000.0,9000.0,2025-03-06T00:00:00.000Z,0.0,G,"Parks, Recreational Facilities, and Other Items",2025-03-07T15:06:09.120Z,9ca7d3532d88ca15ce3817abce39b2375e068191,cf328acb-0a30-4c0c-a9d3-c6cc050f3aee
4673,2022-09-29T00:00:00.000Z,Hurricane,344,100% Lee County Expedited Debris Removal 31-75 days,071-99071-00,A - Debris Removal,Large,Lee County,71,Florida,FL,12,68264726.48,68264726.48,68264726.48,2025-03-06T00:00:00.000Z,0.0,A,Debris Removal,2025-03-07T15:06:09.120Z,9ca3d0cbee84446c98d17300c99671bb3983726b,5fb32aef-a502-4114-be8a-8a78edb9f4e6
4337,2017-09-10T00:00:00.000Z,Hurricane,636,Cat E,043-1257B-00,E - Buildings and Equipment,Small,Glades County,43,Florida,FL,12,10946.58,9851.92,9851.92,2019-09-20T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-04-05T15:02:37.720Z,8a6e950e3e88ded8d3e1b68827837f24e76652b2,b312a9bc-8352-434f-ace5-c71a0090de7f
